Records,410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940
ud4_1:46,1543.49,2430.90,3563.37,4015.50,5169.80,5113.34,4300.99,4225.31,7970.91,3296.80,8479.81,4816.50,9621.76,9722.52,13068.45,12797.31,3783.02,2469.5
hd4_1:33,524.41,587.74,850.61,943.41,846.40,1031.90,923.07,711.27,1844.02,412.69,781.60,870.52,3860.77,3557.10,4285.09,3899.66,1234.64,897.5
ud3_8:081,209.09,218.33,301.86,247.44,297.89,324.55,242.75,255.21,302.00,121.45,230.59,300.35,1413.81,1503.05,2055.30,2030.26,567.27,242.4
ud4_9:49,35.70,46.79,55.97,57.46,61.47,76.41,52.66,51.85,102.95,31.22,46.92,61.07,230.28,210.30,257.88,205.25,65.50,46.2
ud3_8:082,181.04,224.18,305.86,295.63,314.44,296.56,218.53,261.25,495.32,201.85,409.27,267.30,740.20,781.68,1010.89,992.94,305.88,139.7
ud3_6:33p,5.95,7.80,10.99,9.27,11.03,12.10,8.43,8.05,12.58,5.13,9.98,10.88,39.16,39.94,55.87,53.25,16.07,7.4
u2_9:40,62.90,52.63,73.97,92.67,78.81,46.15,38.44,55.37,142.99,53.88,54.90,30.96,133.16,104.33,275.93,175.29,51.91,23.1
u2_9:20,43.35,49.71,64.97,61.16,63.05,61.28,47.39,60.40,115.54,47.47,99.82,64.00,143.34,155.68,209.74,226.32,63.03,29.6
hd4_1:26,209.94,226.13,323.85,196.47,224.60,216.37,127.43,176.18,154.43,85.53,121.78,161.47,1055.86,1441.91,1779.36,1637.52,586.42,373.8
hd4_1:24,199.74,198.84,287.87,163.10,195.44,190.64,111.63,166.62,97.23,68.00,89.84,161.89,1185.88,1678.29,2071.63,1869.40,659.96,408.9
u2_9:25,101.14,154.98,208.90,169.59,193.87,217.12,128.48,158.56,308.86,134.71,308.45,171.93,357.96,383.10,446.13,460.41,140.27,61.9
ud4_1:30,193.79,111.12,202.91,264.12,141.07,148.28,173.24,364.94,165.87,333.57,191.66,167.75,386.94,546.12,789.97,1150.48,321.95,384.9
ud4_1:38,319.58,312.88,501.77,388.30,321.54,308.66,259.60,316.62,517.06,133.43,323.42,277.34,1326.09,1542.17,1874.78,1920.43,832.98,533.8
ud4_1:39,220.98,213.46,292.87,180.71,208.84,190.64,110.05,169.13,130.41,92.37,116.79,158.12,814.61,962.63,1349.57,1147.15,433.79,290.5
UH111:43,417.32,512.69,857.61,480.97,510.68,610.51,323.84,411.76,679.50,338.28,701.74,653.83,1933.91,2201.59,2225.50,2375.30,1037.52,687.4
hd3_6:30p,13.60,15.60,20.99,15.75,22.85,28.75,18.96,17.62,18.30,7.70,12.98,24.68,114.36,110.85,139.25,130.91,41.40,20.3
hd4_8:261,85.84,91.62,120.94,85.26,99.30,98.35,70.56,85.07,86.94,41.05,80.86,88.68,432.37,449.12,650.71,555.83,199.59,129.5
ud4_1:21,84.99,80.90,148.93,56.53,81.96,48.42,26.33,43.29,40.04,17.53,62.89,35.14,193.47,195.62,470.20,317.30,168.08,96.2
ud4_1:20,344.23,360.64,308.86,383.66,240.36,170.97,111.63,280.38,587.98,309.62,131.76,140.97,1251.67,1181.90,1630.65,1414.53,450.48,332.1
u2_9:16,86.69,110.14,164.92,108.43,152.89,192.16,117.42,143.96,252.81,106.06,263.53,187.41,462.92,510.25,523.49,536.97,192.18,94.3
ud3_8:13,84.99,91.62,132.94,87.11,111.12,119.53,87.41,98.66,113.25,54.31,88.84,113.78,527.93,575.46,730.66,749.98,231.73,112.8
hd4_8:45,226.93,248.55,349.84,225.19,276.62,309.42,196.94,242.63,260.82,109.48,206.63,300.77,1487.44,1615.53,2078.50,1892.69,717.43,495.0
ud3_8:08,300.88,314.83,444.80,359.57,405.86,405.50,292.24,337.76,425.54,168.07,305.45,338.42,1789.00,1970.10,2595.98,2474.04,714.96,317.3
hd4_8:46,243.93,280.71,360.83,320.65,352.27,375.24,276.45,341.29,517.06,224.95,386.31,354.73,1736.52,1477.78,1998.56,1609.79,583.33,456.1
hd3_6:35p,6.80,7.80,10.99,7.41,10.25,11.35,7.90,8.05,9.15,4.28,9.98,11.29,52.48,49.72,72.21,63.24,18.54,9.2
hd4_9:17,1012.28,875.28,870.60,1065.73,825.12,503.09,546.58,1026.38,1615.23,660.73,327.41,412.04,7051.05,4761.82,5957.00,4512.07,1838.99,2056.8
ud3_8:04,209.09,283.64,471.78,281.72,431.08,784.51,402.30,441.96,628.02,217.25,770.62,727.04,1630.78,2077.69,2037.24,2236.62,779.84,308.1
h2_9:25,81.59,105.27,147.93,117.69,141.85,168.70,107.95,113.76,165.87,57.73,114.79,112.11,450.38,533.89,587.96,568.03,171.79,74.9
h2_9:20,50.15,63.36,86.96,69.50,85.11,99.86,70.03,69.97,109.82,33.78,71.87,79.48,308.61,370.87,427.22,398.29,116.79,48.1
hd4_9:10,413.07,564.35,648.70,709.87,613.13,975.92,611.87,549.18,754.99,258.30,396.29,635.01,1894.74,2063.83,2607.16,2475.15,961.51,633.8
hd4_8:40,241.38,300.21,412.81,294.70,349.91,425.92,275.92,320.14,465.58,184.32,469.16,443.42,1444.36,1600.04,1681.37,1750.69,705.07,506.1
hd4_9:08,1315.71,1664.79,2580.82,1769.12,2649.52,3859.78,2473.28,2316.52,3002.82,982.75,2433.64,3173.35,11913.63,12624.28,14906.26,13296.56,4787.17,3081.1
ud4_9:17,16411.50,16577.70,15916.71,4294967296.00,4294967296.00,10725.99,3950.30,5115.77,4294967296.00,3762.09,13117.50,2051.01,4294967296.00,14289.53,4294967296.00,13983.30,1612.20,1207.4
ud4_8:54,48.45,48.74,66.97,47.26,53.59,52.96,35.81,47.82,50.33,24.38,36.93,53.13,278.85,293.44,388.54,333.94,136.56,99.9
ud4_8:53,311.08,298.26,403.82,374.40,407.44,404.74,337.53,390.11,467.87,239.49,375.33,404.93,1038.62,1288.67,1923.78,2103.49,662.43,421.9
h2_9:16,66.30,88.70,208.90,122.33,203.32,113.48,76.88,86.08,171.59,163.36,410.26,80.74,125.32,143.46,389.40,218.56,160.66,30.5
hd4_8:37,290.68,302.16,429.80,243.73,297.89,300.34,187.98,246.65,170.45,100.93,162.71,270.23,1803.88,2093.99,2763.60,2476.26,902.19,621.7
ud4_8:161,119.84,168.62,237.89,182.56,241.94,297.31,197.99,216.95,362.63,124.02,327.41,302.86,958.73,969.97,1143.26,1069.49,387.45,248.8
hd4_8:30,65.45,74.08,108.95,64.87,85.11,92.30,60.03,72.99,80.08,39.77,100.82,85.76,355.61,326.86,381.66,323.95,157.57,119.3
ud3_6:37p,72.24,72.13,100.95,229.83,196.23,119.53,83.72,64.43,197.90,73.98,116.79,64.42,114.36,92.92,231.23,149.77,35.84,11.1
ud4_9:08,1368.40,1652.12,1904.13,2498.45,2777.98,2407.26,2036.23,3001.11,5911.84,2271.71,4370.17,2790.18,9435.34,7488.33,9991.95,7405.47,3378.89,2725.8
hd4_8:29,64.60,70.18,96.96,71.36,80.38,89.27,57.92,66.95,73.21,33.36,68.88,79.48,370.49,361.90,482.23,351.69,156.34,99.9
hd3_7:54,8.50,9.75,14.99,9.27,12.61,18.16,10.53,11.58,13.73,5.99,10.98,15.90,75.19,78.25,84.24,76.55,24.72,10.1
h11:54,110.49,151.08,254.88,205.73,252.97,248.14,194.83,212.42,324.88,86.39,377.32,222.54,401.82,519.22,618.05,744.43,203.92,88.8
ud4_9:10,1837.57,2197.95,2669.78,3204.62,3373.77,3396.03,2667.06,3742.07,7554.52,3280.55,4942.15,3978.20,14467.11,11553.24,14495.38,10325.50,4439.89,3329.0
h12:24,1295.31,1077.04,1452.33,1426.23,1223.10,1606.10,1035.23,1172.35,1975.57,908.77,1388.51,1441.52,3020.31,3814.67,5259.87,4984.68,1673.38,793.8
ud4_8:40,543.11,659.87,907.58,870.19,1007.17,989.53,763.52,890.47,1789.11,710.76,1465.37,1017.77,3994.71,3472.33,4461.31,3774.29,1331.04,976.1
h11:56,213.34,243.68,321.85,233.53,256.91,257.22,160.60,208.40,306.57,134.28,203.64,207.07,1286.92,1342.47,1454.44,1342.41,503.00,337.7
u11:54,89.24,95.52,144.93,86.19,102.45,99.10,71.09,97.65,113.25,52.60,131.76,118.80,394.77,504.55,667.05,651.24,239.76,127.6
h2_9:49,92.64,101.37,145.93,93.60,107.97,112.72,69.51,84.57,76.64,37.63,60.89,84.08,521.66,683.05,802.86,781.04,250.27,120.2
ud4_8:45,264.33,269.02,370.83,270.60,284.50,304.88,211.15,307.06,396.94,209.98,285.49,355.57,1489.79,1422.35,1912.60,1761.78,703.21,509.8
hd4_10:04,1517.99,1631.65,1846.15,2018.41,2275.19,2696.25,2107.32,2489.18,3858.48,1099.50,1081.06,2163.54,11904.23,10835.95,13758.70,9923.88,3968.40,2909.0
u11:56,115.59,137.43,198.91,115.84,136.34,140.71,81.09,111.25,136.13,59.87,134.76,118.38,506.00,633.33,640.40,720.02,274.36,167.4
hd4_8:25,64.60,70.18,97.96,66.72,79.60,93.05,58.45,64.94,70.92,30.36,47.91,79.48,421.40,447.49,566.47,495.92,186.00,122.1
u12:24,1234.11,1567.32,2354.92,1747.80,2077.38,2395.15,1473.33,1738.65,2941.05,1252.18,2777.02,2203.28,6600.67,7316.34,7995.11,7837.04,2947.57,1610.8
hd4_8:26,71.39,79.93,108.95,76.92,92.21,105.16,65.82,76.01,80.08,38.49,64.88,89.94,468.40,490.69,655.87,597.98,208.86,144.3
ud4_8:46,209.94,231.00,316.85,200.17,257.70,292.02,197.99,208.40,239.08,110.76,218.61,266.05,958.73,1163.96,1599.71,1560.97,523.39,342.3
ud3_6:331p,5.10,5.85,9.00,6.49,7.88,9.08,5.79,6.54,9.15,5.13,9.98,9.20,28.98,30.16,42.12,41.05,12.36,5.5
h2_9:40,659.55,738.82,1060.51,875.76,879.50,1144.62,820.92,994.66,1733.06,858.73,1590.15,1247.42,3695.50,4171.68,5567.61,5603.75,1884.71,702.2
ud3_7:54,29.75,42.89,54.97,52.82,60.68,67.33,44.23,41.28,65.20,20.96,45.92,45.18,155.87,166.28,189.97,168.63,50.67,20.3
ud4_8:26,60.35,70.18,96.96,71.36,87.48,95.32,60.56,77.52,110.96,43.19,86.84,85.76,393.20,370.87,416.90,338.38,166.84,120.2
ud4_8:29,54.40,71.15,94.96,75.99,90.63,96.08,66.87,68.96,92.66,37.63,89.84,87.01,220.10,253.50,354.15,362.78,113.70,70.3
hd4_8:19,66.30,69.20,95.96,65.80,76.44,78.68,52.13,63.93,67.49,30.36,43.92,73.21,423.75,451.57,605.16,544.73,194.65,129.5
ud4_9:101,1912.37,2314.91,2782.73,2752.37,3071.93,3160.75,2363.76,3094.23,5157.99,2663.01,3692.38,3090.11,15275.45,11988.50,14556.41,10394.28,4771.10,4002.6
ud4_8:30,52.70,59.46,86.96,57.46,71.72,84.73,55.29,68.46,88.08,41.05,64.88,84.92,294.51,342.34,421.20,373.88,153.87,93.4
u12:12,502.31,498.07,537.75,618.13,640.71,479.64,436.52,582.91,1205.70,545.69,469.16,387.78,1857.93,1266.67,2044.98,1930.41,486.32,382.1
hd4_8:16,113.89,123.79,143.93,168.66,148.95,144.50,113.21,153.53,284.84,106.49,112.80,128.84,632.10,541.23,685.10,627.94,226.78,156.3
ud4_8:35,756.45,1086.79,1488.32,1197.33,1573.01,1677.97,893.06,1268.50,2139.15,853.60,2231.00,1550.28,4547.70,4630.59,5572.76,5081.20,2028.07,1370.3
ud4_8:541,64.60,69.20,93.96,62.09,78.81,89.27,60.03,71.98,83.51,36.35,68.88,90.77,412.79,431.19,537.25,497.03,190.33,136.0
ud3_6:332p,4.25,4.87,7.00,7.41,8.67,6.81,5.79,5.54,10.30,4.28,8.98,6.69,19.58,19.56,36.96,34.39,9.27,4.6
ud4_8:261,61.20,65.30,87.96,71.36,81.96,84.73,61.08,72.99,98.38,35.92,64.88,76.97,414.35,370.87,504.58,444.88,158.81,116.5
u12:121,979.13,1253.46,1945.11,1356.73,1745.60,2001.00,1203.20,1490.49,2849.53,1138.42,3047.54,1915.47,4550.83,4910.98,5690.53,6088.57,2224.58,1343.4
h12:121,1708.38,1974.74,2121.03,3134.18,2068.71,2235.53,1889.32,2380.95,6053.69,1346.69,1751.86,2151.82,7258.62,7604.07,8991.38,8281.92,2623.77,1460.9
ud3_6:30p,11.05,14.62,19.99,12.05,16.55,15.13,8.95,14.09,24.02,15.82,36.93,28.86,91.64,95.37,117.76,107.62,37.08,16.6
u12:122,1240.06,1335.34,1653.24,1885.89,1794.46,1629.55,1125.80,1757.27,3847.04,1712.76,2473.57,1600.90,5013.75,4179.02,5614.02,5140.00,1908.19,1317.5
h12:122,1334.41,1664.79,2568.82,1677.37,2280.70,3235.65,1957.25,1929.43,2347.35,850.18,1825.73,2630.38,9100.88,10632.99,11870.17,10713.80,3844.81,1993.0
hd3_6:351p,6.80,7.80,10.00,7.41,9.46,9.83,6.85,7.05,6.86,2.99,7.99,9.20,52.48,49.72,68.77,62.13,19.16,10.1
ud4_8:16,83.29,95.52,125.94,98.23,112.70,121.04,72.14,103.69,169.30,74.41,149.73,122.15,507.56,476.02,565.61,507.01,199.59,136.9
hd4_5:16,79.04,96.50,116.95,108.43,85.11,131.64,86.88,104.70,172.73,44.90,112.80,94.54,385.37,451.57,384.24,535.86,126.06,72.1
hd3_8:04,126.64,141.33,302.86,123.25,193.08,259.49,122.16,141.95,163.58,91.09,237.57,228.40,659.52,805.32,924.07,893.09,456.66,162.8
ud4_8:19,56.95,58.48,81.96,63.02,73.29,65.82,48.44,55.37,70.92,29.51,39.93,60.24,336.03,370.87,523.49,487.04,156.96,103.6
h12:00,1228.16,1490.32,1973.10,1331.70,1815.73,1929.89,1309.57,1448.71,1715.90,898.51,1417.46,1547.77,7767.75,8234.15,9672.18,8703.50,2898.13,1591.4
